experiment,size,max_iters,np,rep,rank,local_rows,total_sec,compute_sec,comm_sec,overhead_sec
baseline,3000,50,3,1,2,1000,1.1456088130000002,0.36776457,0.7774732529999999,0.000370990000000182
baseline,3000,50,3,2,0,1000,0.763608946,0.3761280669999998,0.3872624369999995,0.0002184420000006515
baseline,3000,50,3,2,1,1000,0.765928324,0.3980654730000004,0.36766326199999994,0.00019958899999966695
baseline,3000,50,3,2,2,1000,0.763689407,0.2981248719999998,0.46541686100000046,0.00014767399999970898
baseline,3000,50,3,3,0,1000,0.986588578,0.5713072730000002,0.41501539499999995,0.0002659099999998693
baseline,3000,50,3,3,1,1000,0.992947774,0.5771067860000001,0.41562421000000027,0.00021677799999963998
baseline,3000,50,3,3,2,1000,0.989255745,0.2970909420000001,0.6920169790000003,0.00014782399999968554
baseline,3000,50,3,4,0,1000,1.1644356500000002,0.41117248699999953,0.7530588509999996,0.000204312000001039
baseline,3000,50,3,4,1,1000,1.165172063,0.712232027,0.4516645949999999,0.0012754410000000993
baseline,3000,50,3,4,2,1000,1.164774688,0.30069868499999997,0.8639003389999999,0.00017566400000024185
baseline,4000,50,3,1,0,1334,1.427063003,0.6992203780000005,0.727594057,0.00024856799999950496
baseline,4000,50,3,1,1,1333,1.42837832,0.9195008190000004,0.5083837959999999,0.0004937049999996779
baseline,4000,50,3,1,2,1333,1.427469476,0.6451934050000003,0.7816989359999995,0.0005771350000001174
baseline,4000,50,3,2,0,1334,1.414883904,0.9786933390000001,0.43587877200000014,0.0003117929999998381
baseline,4000,50,3,2,1,1333,1.423241588,0.8702491809999993,0.5525697379999999,0.0004226690000008748
baseline,4000,50,3,2,2,1333,1.420507142,0.5437283740000007,0.8765976740000002,0.00018109399999899356
baseline,4000,50,3,3,0,1334,1.483537989,0.9065824370000003,0.576665037,0.00029051499999965813
baseline,4000,50,3,3,1,1333,1.485660943,1.0119163109999998,0.4734038789999997,0.00034075300000058206
baseline,4000,50,3,3,2,1333,1.483733402,0.5311282399999998,0.952420382,0.00018478000000010653
baseline,4000,50,3,4,0,1334,1.46599954,0.8467311010000002,0.6188814210000003,0.00038701799999962816
baseline,4000,50,3,4,1,1333,1.468367851,1.0056018439999996,0.4623931280000001,0.0003728790000002702
baseline,4000,50,3,4,2,1333,1.465753819,0.5279091589999991,0.9375915109999998,0.00025314900000095175
