size,rep,variant,seq_key,seq_runtime_s,mpi_runtime_s,mpi_wall_s,speedup,efficiency,comm_mode,kernel_cutoff,sync_every,column_syncs,column_payload_bytes,payload_ratio_vs_double50,seq_iterations,mpi_iterations,mpi_row_error,mpi_col_error,objective_diff_vs_seq
6000,3,float32_comm,dense,4.7595890810000006,3.19877219,4.581415804999779,1.4879424973992914,0.7439712486996457,float32,0,1,50,1200000,0.5,50,50,6.174812291798344e-09,2.9464707829802896e-08,6.455053158660462e-11
6000,3,quantized_comm,dense,4.7595890810000006,3.157204582,4.543341886000235,1.5075326787930021,0.7537663393965011,quantized,0,1,50,1200000,0.5,50,50,1.9987203006490047e-09,1.9763997152248366e-07,1.3588817848741996e-09
6000,3,lazy_sync5,dense,4.7595890810000006,2.52632733,4.2682466139995086,1.883995404902658,0.941997702451329,lazy,0,5,10,480000,0.2,50,50,6.000311691630768e-09,6.000311708408796e-09,1.2279066652354231e-13
6000,3,sparse_cutoff025,sparse_cutoff025,14.651140538,8.362639592,9.522339187000398,1.7519756025377207,0.8759878012688603,double,0.25,1,50,2400000,1.0,50,50,6.000660246122244e-09,6.000660252166671e-09,7.549516567451064e-15
7000,1,double_baseline,dense,6.339543292,4.485062289,5.881157153999993,1.4134794309430827,0.7067397154715414,double,0,1,50,2800000,1.0,50,50,7.000309857149332e-09,7.000309802641068e-09,4.551914400963142e-15
7000,1,float32_comm,dense,6.339543292,3.862137722,5.344833677000679,1.6414596651714122,0.8207298325857061,float32,0,1,50,1400000,0.5,50,50,6.3741691169272394e-09,3.4349760343402314e-08,2.138563770515134e-10
7000,1,quantized_comm,dense,6.339543292,3.95773058,5.214351637999243,1.6018127469404448,0.8009063734702224,quantized,0,1,50,1400000,0.5,50,50,7.205674669246397e-09,2.343706086846897e-07,7.298550652734548e-11
7000,1,lazy_sync5,dense,6.339543292,3.349079837,4.834655546999784,1.8929209217295826,0.9464604608647913,lazy,0,5,10,560000,0.2,50,50,7.000311797627275e-09,7.000311739974825e-09,5.051514762044462e-15
7000,1,sparse_cutoff025,sparse_cutoff025,19.365644303,10.82549737,12.339829495999766,1.7888918763831354,0.8944459381915677,double,0.25,1,50,2800000,1.0,50,50,7.00065926078795e-09,7.000659280764375e-09,1.021405182655144e-14
7000,2,double_baseline,dense,5.9562567689999995,4.7135235269999995,5.965695099999721,1.2636527079755466,0.6318263539877733,double,0,1,50,2800000,1.0,50,50,7.000309857149332e-09,7.000309802641068e-09,4.551914400963142e-15
7000,2,float32_comm,dense,5.9562567689999995,3.996393903,5.332589372000257,1.4904078310520832,0.7452039155260416,float32,0,1,50,1400000,0.5,50,50,6.3741691169272394e-09,3.4349760343402314e-08,2.138563770515134e-10
7000,2,quantized_comm,dense,5.9562567689999995,3.9722901470000003,5.209810256999845,1.4994515880211705,0.7497257940105853,quantized,0,1,50,1400000,0.5,50,50,7.205674669246397e-09,2.343706086846897e-07,7.298550652734548e-11
7000,2,lazy_sync5,dense,5.9562567689999995,3.318269971,4.604252346000067,1.794988599798892,0.897494299899446,lazy,0,5,10,560000,0.2,50,50,7.000311797627275e-09,7.000311739974825e-09,5.051514762044462e-15
7000,2,sparse_cutoff025,sparse_cutoff025,19.137382347000003,10.938783187,12.195106903999658,1.7494982778105959,0.8747491389052979,double,0.25,1,50,2800000,1.0,50,50,7.00065926078795e-09,7.000659280764375e-09,1.021405182655144e-14
7000,3,double_baseline,dense,6.1764326490000006,4.377147257,5.900346102000185,1.4110634818425531,0.7055317409212766,double,0,1,50,2800000,1.0,50,50,7.000309857149332e-09,7.000309802641068e-09,4.551914400963142e-15
7000,3,float32_comm,dense,6.1764326490000006,4.047949603999999,5.5090553199997885,1.5258175751241396,0.7629087875620698,float32,0,1,50,1400000,0.5,50,50,6.3741691169272394e-09,3.4349760343402314e-08,2.138563770515134e-10
7000,3,quantized_comm,dense,6.1764326490000006,3.950918684,5.388639714999954,1.5632902479144015,0.7816451239572008,quantized,0,1,50,1400000,0.5,50,50,7.205674669246397e-09,2.343706086846897e-07,7.298550652734548e-11
7000,3,lazy_sync5,dense,6.1764326490000006,3.200469771,4.776105587000529,1.9298518939206069,0.9649259469603034,lazy,0,5,10,560000,0.2,50,50,7.000311797627275e-09,7.000311739974825e-09,5.051514762044462e-15
7000,3,sparse_cutoff025,sparse_cutoff025,18.574984087,10.718676235,12.095524624000063,1.732955047783473,0.8664775238917365,double,0.25,1,50,2800000,1.0,50,50,7.00065926078795e-09,7.000659280764375e-09,1.021405182655144e-14
8000,1,double_baseline,dense,7.771568439,5.905968415999999,7.6739280749998215,1.3158838469142264,0.6579419234571132,double,0,1,50,3200000,1.0,50,50,8.000316357336572e-09,8.00031631624531e-09,1.0513812043200232e-13
8000,1,float32_comm,dense,7.771568439,4.932037854,6.267391694999787,1.575731709499568,0.787865854749784,float32,0,1,50,1600000,0.5,50,50,7.113567363278969e-09,3.9328249671439705e-08,3.055103392490821e-10
8000,1,quantized_comm,dense,7.771568439,4.909908002,6.367528927000421,1.5828338200704235,0.7914169100352118,quantized,0,1,50,1600000,0.5,50,50,9.392514115427741e-09,2.671886822042764e-07,5.01552743781275e-10
